,grid,obstacle,goal_dist,start_dist,wall_dist,center_dist,dVGC,sVGC,Moves
34,grid-005-l,obs-4,2,9,3,5,0.8666999145055575,0.9999999999999998,15
35,grid-005-l,obs-5,7,11,3,5,0.013607865488743254,4.5397868702434395e-05,15
36,grid-006-l,obs-0,2,8,1,3,0.01125691067741292,4.5397868702434395e-05,16
37,grid-006-l,obs-1,11,6,1,3,0.011456737494171726,4.5397868702434395e-05,16
38,grid-006-l,obs-2,12,3,2,4,0.009724905082262049,4.5397868702434395e-05,16
39,grid-006-l,obs-3,7,5,2,4,0.363684806501032,0.9999999999999998,16
40,grid-006-l,obs-4,2,11,4,6,0.8294811163658172,0.9999999999999998,16
41,grid-006-l,obs-5,7,11,4,6,0.012722307333644186,4.5397868702434395e-05,16
42,grid-007-l,obs-0,10,9,2,4,0.01044021811411092,4.539786870243439e-05,16
43,grid-007-l,obs-1,10,3,2,4,0.010440218114110916,4.539786870243439e-05,16
44,grid-007-l,obs-2,3,5,1,2,0.6019417475728157,1.0,16
45,grid-007-l,obs-3,1,8,3,5,0.8634126878574284,1.0,16
46,grid-007-l,obs-4,5,10,3,5,0.0060513366139114235,4.539786870243439e-05,16
47,grid-007-l,obs-5,7,4,3,5,0.2518287006250831,1.0,16
48,grid-008-l,obs-0,9,9,2,4,0.005254755886656913,4.53978687024344e-05,16
49,grid-008-l,obs-1,10,3,2,4,0.007250232805640556,4.53978687024344e-05,16
50,grid-008-l,obs-2,5,7,3,5,0.5249434614872954,0.4996250223197325,16
51,grid-008-l,obs-3,5,8,1,3,0.005321271783956369,4.53978687024344e-05,16
52,grid-008-l,obs-4,1,8,3,5,0.8619795131036316,1.0000000000000002,16
53,grid-008-l,obs-5,5,2,1,3,0.4872954636158045,1.0000000000000002,16
54,grid-009-l,obs-0,8,11,2,4,0.007139567019806544,4.5397868702434374e-05,14
55,grid-009-l,obs-1,3,10,1,3,0.00836787962536466,4.5397868702434374e-05,14
56,grid-009-l,obs-2,3,8,5,7,0.7346844771994484,0.7770444399382938,14
57,grid-009-l,obs-3,6,2,1,2,0.34884077997850466,0.9999999999999994,14
58,grid-009-l,obs-4,8,4,2,4,0.007600184246890837,4.5397868702434374e-05,14
59,grid-009-l,obs-5,2,7,1,2,0.8034699831107026,0.9999999999999994,14
60,grid-010-l,obs-0,12,4,5,7,0.009637350085665351,4.5397868702434395e-05,15
61,grid-010-l,obs-1,7,6,2,4,0.04169046259280417,0.9999999999999998,15
62,grid-010-l,obs-2,2,6,1,3,0.36350656767561423,0.9999999999999998,15
63,grid-010-l,obs-3,6,11,4,6,0.012207310108509447,4.5397868702434395e-05,15
64,grid-010-l,obs-4,9,1,3,5,0.012992575671045139,4.5397868702434395e-05,15
65,grid-010-l,obs-5,7,7,1,3,0.01306396344945747,4.5397868702434395e-05,15
66,grid-011-l,obs-0,11,6,4,6,0.008053244592346088,4.539786870243439e-05,16
67,grid-011-l,obs-1,6,6,2,4,0.5970715474209647,1.0,16
68,grid-011-l,obs-2,1,7,1,3,0.7806322795341095,1.0,16
69,grid-011-l,obs-3,5,12,4,6,0.009717138103161398,4.539786870243439e-05,16
70,grid-011-l,obs-4,8,1,3,5,0.266622296173045,1.0,16
71,grid-011-l,obs-5,8,9,1,3,0.009051580698835273,4.539786870243439e-05,16
