,grid,side,Quad,obstacle,goal_dist,start_dist,wall_dist,center_dist,dVGC,sVGC,Moves,JIT,sVGCPrior,RandomForgetsVGC,TargetForgetsVGC,SpatialsVGC,SpatialsVGC010,SpatialsVGC025,SpatialsVGC033,SpatialsVGC040,RandomForgetsVGC010,RandomForgetsVGC025,RandomForgetsVGC033,RandomForgetsVGC040
38,grid-006-l,L,L,obs-2,12,3,2,4,0.009724905,4.54E-05,16,0.322806977,0.728628414,4.54E-05,4.54E-05,0.020168886,0.035097803,0.035429927,0.065361251,0.135475398,4.54E-05,4.54E-05,4.54E-05,4.54E-05
39,grid-006-l,R,L,obs-3,7,5,2,4,0.363684807,1,16,0.668538536,0.520018134,0.840007264,0.530021337,0.990000454,1,1,0.970001362,0.990000454,0.870005902,0.80000908,0.700013619,0.56001998
40,grid-006-l,R,U,obs-4,2,11,4,6,0.829481116,1,16,0.729665561,0.280032686,0.81,0.29,0.95000227,0.910004086,0.90000454,0.782233843,0.740011803,0.88,0.72,0.69,0.64
41,grid-006-l,L,U,obs-5,7,11,4,6,0.012722307,4.54E-05,16,0.16511088,0.130834145,4.54E-05,4.54E-05,0.010044944,0.020044228,0.020044359,0.029919164,0.090548152,4.54E-05,4.54E-05,4.54E-05,4.54E-05
42,grid-007-l,L,NA,obs-0,10,9,2,4,0.010440218,4.54E-05,16,0.220552796,0.279759097,4.54E-05,4.54E-05,0.11310317,0.079571764,0.238959986,0.179499582,0.279627902,4.54E-05,4.54E-05,4.54E-05,4.54E-05
43,grid-007-l,L,L,obs-1,10,3,2,4,0.010440218,4.54E-05,16,0.248733691,0.479753459,4.54E-05,4.54E-05,0.193362122,0.155034384,0.285094431,0.230220616,0.305206766,4.54E-05,4.54E-05,4.54E-05,4.54E-05
44,grid-007-l,R,U,obs-2,3,5,1,2,0.601941748,1,16,0.406933861,0.576914464,0.82,0.59,0.969998404,0.969998857,0.860004492,0.929998432,0.91000181,0.9,0.72,0.66,0.61
45,grid-007-l,R,U,obs-3,1,8,3,5,0.863412688,1,16,0.723210449,0.579744276,0.78,0.62,0.870006734,0.925012688,0.740217481,0.770008042,0.700026279,0.94,0.78,0.69,0.64
46,grid-007-l,L,U,obs-4,5,10,3,5,0.006051337,4.54E-05,16,0.242585444,0.518427038,4.54E-05,4.54E-05,0.112825366,0.074566515,0.229084117,0.209280505,0.266508845,4.54E-05,4.54E-05,4.54E-05,4.54E-05
47,grid-007-l,R,L,obs-5,7,4,3,5,0.251828701,1,16,0.509725272,0.46001762,0.910004086,0.500022699,0.875270873,0.930134921,0.845492959,0.726330039,0.780694795,0.920003632,0.770010442,0.680014527,0.56001998
48,grid-008-l,L,NA,obs-0,9,9,2,4,0.005254756,4.54E-05,16,0.145028017,0.220019503,4.54E-05,4.54E-05,0.187755044,0.090041312,0.22705913,0.321081898,0.27538995,4.54E-05,4.54E-05,4.54E-05,4.54E-05
49,grid-008-l,L,L,obs-1,10,3,2,4,0.007250233,4.54E-05,16,0.197851119,0.594465861,4.54E-05,4.54E-05,0.180095207,0.105036678,0.265095223,0.363419055,0.283399752,4.54E-05,4.54E-05,4.54E-05,4.54E-05
50,grid-008-l,R,NA,obs-2,5,7,3,5,0.524943461,0.499625022,16,0.554401893,0.396923702,0.339762542,0.069990045,0.560837641,0.539964115,0.585815828,0.640751654,0.590924655,0.354750931,0.289807579,0.184896358,0.21487613
51,grid-008-l,L,U,obs-3,5,8,1,3,0.005321272,4.54E-05,16,0.175726713,0.30252933,4.54E-05,4.54E-05,0.182265395,0.100040631,0.204484775,0.287812587,0.215606979,4.54E-05,4.54E-05,4.54E-05,4.54E-05
52,grid-008-l,R,U,obs-4,1,8,3,5,0.861979513,1,16,0.771702209,0.410887208,0.88,0.45,0.815068165,0.860264869,0.665277201,0.650134776,0.660335584,0.9,0.79,0.68,0.56
53,grid-008-l,R,L,obs-5,5,2,1,3,0.487295464,1,16,0.41852558,0.48001208,0.82,0.42,0.987685623,0.998479784,0.965406032,0.938131977,0.906301996,0.86,0.8,0.64,0.61
